ID,text
126,"RT @ShefVaidya: Haha, the impact of @narendramodi Sarkar. If this govt continues for ten more years, all mosques will start playing Vande M…"
127,RT @PippaN15: Everyone concerned about the #Australianfires (still burning) needs to read this powerful and angry article. https://t.co/SVx…
128,RT @SethAbramson: PS4/ Wonder why these two longtime election-meddling bottom-feeders have been missing from Fox News for at least three mo…
129,"RT @Biju_ningz: Guys let's follow each other for the mega trend.

Guys follow me @Biju_ningz and comment down below ""dn"" with the hastag.…"
130,"RT @Senator_Patrick: It was the Chinese president who stopped flights from Wuhan to Australia, not @ScottMorrisonMP. The PM has hesitated i…"
131,"RT @KiranKS: We had seen in 2014, an ordinary tea seller becoming the PM of the largest democracy in the world.

Today, we saw an orange se…"
132,"RT @PostalVoteProbe: https://t.co/PbLhsOlOsV

Tory Candidate for Canterbury wants to fix election time to ensure students don't vote in uni…"
133,RT @yiyieeen: Malaysia and coronavirus are trending at the same time is not a good sign. I have been reading about the news day and night.…
134,"@omkak55 @abhijeet_dipke @vivekagnihotri like how demonitization was a hit

https://t.co/b9IUbnphJ1"
135,RT @prxncesspaula: Imagine if they did a story for every student house that’s been left without a working boiler for over a week haha
136,"RT @BiggBos_Tak: Breaking New!

It's a very good news specially for Shehnaaz Fans.

After the WKW went on air yesterday, Shehnaaz Gill fan…"
137,RT @digitaljournal: #Britain's years-long battle over #Brexit https://t.co/HMoitiWbD0
138,"RT @EricRWeinstein: So far as I know have never seen this phenomena before. 

Only one generation is stewarding our collective future. *Eve…"
139,"RT @RogerUpchurch10: BREAKING NEWS: The #coronavirus exceeds SARS with R0=2.5, Harvard epidemiologist, Dr. Eric Feigl-Ding reports. And now…"
140,@mmmandar You don't lol its hellish especially in this weather
141,"RT @SubjectKpop: All the news sites are reporting on the issue now

Hopefully the upcoming news is about JYPE filing another lawsuit on him…"
142,"@CrazyCatLadyRPh No you are not both pregnant, she is. Also to the wife: leave this creep. He got upset you had a b… https://t.co/xHciFhluqw"
143,"RT @behindwoods: Thalapathy Vijay's film gets celebrated before Master's third look: Viral Video here
#MasterThirdLook #ThalapathyVijay #Su…"
144,"I did NOT see that coming 🙄

Half the country apparently knew they were voting for a reduction to statutory paid ho… https://t.co/8LscqSpkMb"
145,"RT @chriskc_Lee: Doctor dies from Wuhan virus at Hubei hospital

To all our frontline staff as well as the doctors, nurses &amp; staff at Hosp…"
146,"RT @MaryJoe38642126: .@RepHorsford 

PLS #Cosponsor #HConRes71 

#Urges All #Nations To #Outlaw The #DogCatMeatTrade &amp; To #Enforce #Laws #A…"
147,This is a true HERO!  God bless him.
148,India’s 4th highest civilian award Padma Shri given to British Conservative MP BobBlackman. He is a true friend of… https://t.co/CfPWfOxRZ8
149,"RT @staronline: Wuhan virus: Health Ministry to discuss banning Chinese nationals from entering country
https://t.co/1zLMr7kxuD  https://t.…"
150,"Invasion Day protests held across nation and in London to challenge Australia Day date 

(In circumstances where th… https://t.co/h8qc7oH1Ew"
151,"RT @TheBoltonNews: Bolton town hall will bong for Brexit
https://t.co/5raC2afkyD"
152,"@CNNPolitics Fake news, communism tactics"
153,RT @apandahvevo: FREE PENIS MAN
154,"RT @MichaelEMann: ""How Does a Nation Adapt to Its Own Murder? Australia is going up in flames, and its government calls for resilience whil…"
155,"RT @CensorUpdate: #PSPK #PowerStar #PawanKalyan
#PSPK26 @PawanKalyan .

It's Gonna Be A Huge Festival for Fans.

Mass Elements overloaded 😎…"
156,RT @pinkvilla: #BiggBoss13: #PriyankaChopra’s cousin #Meera says '#AsimRiaz and #RashamiDesai are real winners'; Here's Why - https://t.co/…
157,"RT @dhruv_rathee: Few facts about Bolsonaro 

Chief guest of #RepublicDay2020 

👉He’s responsible for destroying Amazon rainforest
👉Openly…"
158,"RT @SubjectKpop: All the news sites are reporting on the issue now

Hopefully the upcoming news is about JYPE filing another lawsuit on him…"
159,RT @ACTBrigitte: God bless these heroes and their loved ones! My heart broke when I heard this news. https://t.co/futPx9SVnb
160,RT @mark_oc: All very well but soon we will run out of places to grow plants too. We need to address population issues. #overpopulation #Cl…
161,"RT @Imamofpeace: What happened:

1- Fake Twitter account tweets unverified video of a boy’s body and claims he’d been kidnapped &amp; killed by…"
