ID,text
160,"RT @allkpop: NCT Dream and SF9 fans demand their labels take action to keep artists out of China due to the coronavirus
https://t.co/JO0xJt…"
161,RT @Unkle_K: This is how the coronavirus started
162,RT @954Cobi: Ngl if the whole city being quarantined i think this shit bigger than what they telling us😭
163,"RT @tashortyy: This new coronavirus outbreak has come to a similar circumstances of a Korean movie, The Flu (2013). You can watch the movie…"
164,"RT @_oyaoyaoyaoya: Shindong was great before his weight-loss, he's still great and he will be great after. Stop becoming a fan NOW just bec…"
165,RT @954Cobi: Ngl if the whole city being quarantined i think this shit bigger than what they telling us😭
166,"RT @purplelovehime: Translation of the Wuhan Doctor video that's going viral..
#CoronavirusOutbreak 
#coronavirus 
#coronavirusPH https://t…"
167,"RT @PassTheSalty: 2020 so far:

- WWIII
- Iran plane crash
- Australia is burning
- earthquakes in Puerto Rico
- Floods in Jakarta
- locust…"
168,"RT @hhh05146721: The second doctor died in this war against pneumonia. Laing Wudong, a retired doctor called from his home to join this com…"
169,"RT @njokingumi: Normalise calling ""pro life"" people ""pro birth"". 
After people are born, pro birth folk ignore:
- parent welfare/fam suppor…"
170,RT @zhonggg: NEW: The U.S. State Department says a charter flight will evacuate American diplomats and private citizens from Wuhan on Tuesd…
171,"New mask, keep away from coronavirus. @ Jackie's Cuisine Yantai https://t.co/sAFVi84Wzl"
172,"RT @business: Coronavirus update:
- At least 56 people have died in China
- More than 2,000 people have been affected around the world
- 15…"
173,"@ProperOpinion god willing, the coronavirus will claim me before I have to go on my business trip and risk being exposed to the coronavirus"
174,"RT @KKMPutrajaya: Do you know #coronavirus #2019_nCov is a new virus with no available vaccine or medicine? 

Here are simple ways to preve…"
175,"RT @NYinLA2121: Currently traveling internationally for work across a few continents; 2x observations about the news.

1. The Trump Impeach…"
176,"RT @elmnzhri: #Coronavirus spreading in our country

The government: https://t.co/tR5kpqENgk"
177,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
178,"RT @ResearchBTS: “@CrisisTextLine partnered with @BTS_AHC... so more fans have access to the mental health help they need.”

The impact of…"
179,RT @Ichibanx3: This video about the Wuhan Coronavirus should be trending. This local guy is risking his life to tell us what he is going th…
180,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
181,RT @KonstantinNico: Got deleted! Just repost this! #coronavirus #coronoavirus https://t.co/ozVeMlYMsW
182,"RT @joonphordipity: PLS PLS HELP SPREADING THE WORDS❗❗❗❗ 
To all passengers on flight CZ311 flying from Guangzhou to Toronto on Jan 22: PLE…"
183,RT @EyesOnQ: This Is How China Is Hiding The True Number Of Coronavirus Deaths | Zero Hedge https://t.co/ZiUqyLjgkK
184,Worth reading for anyone with health concerns about the Coronavirus.
185,"shoddy ships slowly leak; but is it 5G, BioWeapon, or just ShidHole
https://t.co/y3aYvrVXr0"
186,RT @lilsasquatch66: Pray to god her boyfriend gets the coronavirus https://t.co/sTBui63RCJ
187,"RT @aminsyafee: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…"
188,"RT @Terrence_STR: 🚨#CoronaVirus 🚨
⚠️Heartbreaking Voice message from a Medical staff in #Wuhan

 ""More than 100,000 infected. The governmen…"
189,"RT @bedaduz: MERS coronavirus has very low person-to-person transmission. Also, it would only occur when you inhale a large number of virio…"
190,"RT @ArifJemali: Coronavirus might comes from snake (Source :WHO)

This virus shows that how Islam literally take care what do we eat. What…"
191,"RT @StraitsHerald: LATEST

Did the #WuhanOutbreak of #CoronaVirus orignate from humans eating bats &amp; snakes? https://t.co/7nrQ1NiVPK"
192,RT @Unkle_K: This is how the coronavirus started
193,RT @loveforchenle: sm when will you ever prioritize your artists health? corona virus is a deadly virus and sending nct dream to affected c…
194,RT @sahloul: Our hearts are with our Chinese medical workers struggling to deal with consequences of the crisis and dealing with limited re…
195,"RT @Navrajs14661738: #BornFighterSana Jesus gives u wealth, health, respect with full of joy and Siddhartha shukla u will loose your respec…"
196,"Also, Your Mental Health Is Just As Important As Your Physical Health! Actually It’s More Important Because Your Bo… https://t.co/5KRVQaJMtZ"
197,"RT @SyedAkramin: Hospital in Wuhan
Total bed : 1,000
Completion : 6 days

Hospital in Rembau
Total bed : 76
Completion : 7 years"
198,RT @0j0093: I just read about a Chinese woman from Wuhan who deceived France security checks to enter France last night and today I wake up…
199,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
200,"What does this coronavirus entail..i looked it up on google and far from satisfied 
Anyone be kind enough to help me?"
201,"RT @dats: Updates on China's coronavirus:
- There are now 2,000 confirmed cases worldwide
- 56 people have died in China, including 4 outsi…"
202,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
203,"RT @CNN: Transgender youth have a much greater risk of suicide. However, if they have access to a puberty blocker, their chances of suicide…"
204,"RT @Reuters: The Chinese city of Wuhan is rapidly building a new 1,000-bed hospital to treat victims of a new coronavirus, mobilizing machi…"
205,"RT @_atanas_: What is coronavirus and how worried should we be? 

#coronavirus #Wuhan #pandemic
https://t.co/feDJZdrBSx"
206,"RT @PDChina: #Beijing will suspend all inter-province shuttle buses starting January 26 to better handle the #coronavirus outbreak, local m…"
207,"RT @SyedAkramin: Hospital in Wuhan
Total bed : 1,000
Completion : 6 days

Hospital in Rembau
Total bed : 76
Completion : 7 years"
208,RT @lilsasquatch66: Pray to god her boyfriend gets the coronavirus https://t.co/sTBui63RCJ
209,"RT @DrOlufunmilayo: The deadly coronavirus is now in 15 countries:

China
United States
France
Japan
South Korea
Taiwan
Singapore
Thailand…"
210,"Do you now understand why #Allah forbids snake meat and dog meat in the Quran?
Snake meat is the deadliest disease… https://t.co/TsOZtpNWuL"
211,"RT @VOANews: 📌 CORONAVIRUS UPDATE

DEATHS

🇨🇳 China 41

CONFIRMED CASES

🇨🇳 China 1300
🇺🇸 US 2
🇦🇺Australia 1
🇫🇷 France 3
🇳🇵Nepal 1
🇯🇵 Japan…"
212,RT @TheTrumpPage1: China kept secret the outbreak of the Coronavirus since October 2019. The World Heath Organization says the number of in…
213,RT @la_nimboni: This vid was removed as I was watching it. I managed to record the subtitles by fast forwarding the queued vid after it was…
214,"RT @vegix: The old school, non-industrialized way of making tofu.

There's something truly special about all of this.

In Asia tofu has bee…"
215,RT @selahbow: China tryna control the coronavirus #coronoavirus https://t.co/Q407N5nEVv
216,"RT @menumpahkan: How to wear a mask
#coronavirus https://t.co/O71CjIZiWx"
217,"RT @AbainzaRalph: Just a reminder: Wala pa pong confirmed novel #coronavirus sa Philippines as of 6:00 AM (January 26). 

The reports here…"
